Altium Designer Pick and Place Locations
C:\Users\SuperHang\Documents\WeChat Files\wxid_owhfdj1f53bm22\FileStorage\File\2022-09\电路-【自主作业准备1.0-20220907】(1) - 副本\电路-【自主作业准备1.0-20220907】\Project Outputs for CP6AutoV1.0\Pick Place for ValveDrvBoardV20.txt

========================================================================================================================
File Design Information:

Date:       08/09/22
Time:       12:32
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment           Layer    Footprint                             Center-X(mm) Center-Y(mm) Rotation Description                 
D28        M7                TopLayer SMA_L4.4-W2.6-LS5.0-RD                23.9522      7.9248       90       通用二极管                       
U30        EL357N(B)(TA)-G   TopLayer LC-SOP-4_P2.54                        139.9032     26.4701      270      贴片光耦//EL357N(B)(TA)-G       
U26        EL357N(B)(TA)-G   TopLayer LC-SOP-4_P2.54                        129.5038     26.4701      270      贴片光耦//EL357N(B)(TA)-G       
R60        10K               TopLayer R0603-M                               141.4018     19.5834      270      贴片电阻/10K                    
R58        10K               TopLayer R0603-M                               143.8148     29.3116      90       贴片电阻/10K                    
R57        10K               TopLayer R0603-M                               130.8608     19.6248      270      贴片电阻/10K                    
R56        10K               TopLayer R0603-M                               133.2230     29.3116      90       贴片电阻/10K                    
D27        LL4148            TopLayer LC-LL-34                              135.9916     29.1084      270      二极管LL4148                   
D26        LL4148            TopLayer LC-LL-34                              125.4506     29.0068      270      二极管LL4148                   
C20        10nF              TopLayer C0603-M                               138.6332     19.6088      270      贴片电容/50V10nF                
C19        10nF              TopLayer C0603-M                               128.2338     19.6248      270      贴片电容/50V10nF                
U21        TP2272-SR         TopLayer SOIC-127P-8N                          155.7274     23.1648      0        TP2272-SR                   
U25        EL357N(B)(TA)-G   TopLayer LC-SOP-4_P2.54                        160.3502     9.9060       270      贴片光耦//EL357N(B)(TA)-G       
U24        EL357N(B)(TA)-G   TopLayer LC-SOP-4_P2.54                        150.1648     9.9060       270      贴片光耦//EL357N(B)(TA)-G       
U23        EL357N(B)(TA)-G   TopLayer LC-SOP-4_P2.54                        139.9032     9.9060       270      贴片光耦//EL357N(B)(TA)-G       
U22        EL357N(B)(TA)-G   TopLayer LC-SOP-4_P2.54                        129.5038     9.9060       270      贴片光耦//EL357N(B)(TA)-G       
R55        10K               TopLayer R0603-M                               161.6330     3.4671       270      贴片电阻                        
R54        10K               TopLayer R0603-M                               164.4142     11.9804      90       贴片电阻                        
R53        10K               TopLayer R0603-M                               151.5618     3.4290       270      贴片电阻                        
R52        10K               TopLayer R0603-M                               153.9748     11.9804      90       贴片电阻                        
R51        10K               TopLayer R0603-M                               141.1732     3.4654       270      贴片电阻                        
R50        10K               TopLayer R0603-M                               143.5862     11.9804      90       贴片电阻                        
R49        10K               TopLayer R0603-M                               130.8608     3.4654       270      贴片电阻                        
R48        10K               TopLayer R0603-M                               133.2230     11.9804      90       贴片电阻                        
R47        "120Ω 0.1%"       TopLayer R0603-M                               148.0084     20.8026      0        贴片高精密、低温漂电阻//100Ω0.1%       
R46        1K                TopLayer R0603-M                               153.1774     28.8688      270      贴片电阻/1K                     
R45        10K               TopLayer R0603-M                               162.6362     22.2250      90       贴片电阻/10K1%                  
R44        0Ω                TopLayer R0603-M                               148.0084     23.1250      0        0Ω                          
R43        "120Ω 0.1%"       TopLayer R0603-M                               160.4210     28.8688      90       贴片电阻                        
R39        1K                TopLayer R0603-M                               150.8760     28.8688      270      贴片电阻                        
R38        10K               TopLayer R0603-M                               157.8365     28.8688      270      贴片电阻/10K1%                  
R22        0Ω                TopLayer R0603-M                               155.4226     28.8688      270      0Ω                          
L4         100-3             TopLayer L0805-M                               158.8515     17.5767      180      "贴片磁珠/100Ω 3A/0805"         
L3         100-3             TopLayer L0805-M                               149.4791     17.5769      0        "贴片磁珠/100Ω 3A/0805"         
D25        LL4148            TopLayer LC-LL-34                              156.5656     11.3538      270      二极管LL4148                   
D23        LL4148            TopLayer LC-LL-34                              146.3548     11.3538      270      二极管LL4148                   
D22        LL4148            TopLayer LC-LL-34                              135.8900     11.3538      270      二极管LL4148                   
D21        LL4148            TopLayer LC-LL-34                              125.6792     11.3538      270      二极管LL4148                   
C18        10nF              TopLayer C0603-M                               159.0802     3.4798       270      贴片电容                        
C17        10nF              TopLayer C0603-M                               148.8948     3.5052       270      贴片电容                        
C16        10nF              TopLayer C0603-M                               138.6332     3.4618       270      贴片电容                        
C15        10nF              TopLayer C0603-M                               128.2338     3.4618       270      贴片电容                        
C14        100nF             TopLayer C0603-M                               162.5752     28.8688      90       贴片电容/50V100nF/10%           
C13        100nF             TopLayer C0603-M                               164.6332     28.8688      90       贴片电容/50V100nF/10%           
C12        100nF             TopLayer C0603-M                               154.2796     17.5768      180      贴片电容/50V100nF/10%           
C11        50V10uF           TopLayer C1206                                 9.1186       35.0012      0        贴片电容                        
C3         50V10uF           TopLayer C1206                                 9.1948       38.1254      0        贴片电容                        
C2         50V10uF           TopLayer C1206                                 18.5674      40.9448      180      贴片电容                        
U1         TPS5430DDAR       TopLayer SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL-EP2.0 21.8948      28.0162      0        ""                          
RV1        10D560K_C66445    TopLayer RES-TH_L12.5-W4.0-P7.50-D1.0          17.1704      49.3360      90       ""                          
R2         3.24K             TopLayer R0603                                 23.9522      21.5900      180      ""                          
R1         10K               TopLayer R0603                                 20.4724      21.5900      180      ""                          
L2         22uH              TopLayer IND-SMD_L7.1-W6.6                     7.9248       28.9814      180      ""                          
L1         12uH              TopLayer IND-SMD_L4.0-W4.0_SWPA4018S           17.6276      36.6522      0        ""                          
F2         JK-SMD0805-100/6V TopLayer F0805                                 16.1036      21.1582      180      ""                          
F1         JK-NSMD050-30V    TopLayer F1206                                 21.3868      54.3306      270      ""                          
D2         SS34              TopLayer SMA_L4.3-W2.6-LS5.2-RD                14.8590      28.9052      270      肖特基二极管                      
D1         M7                TopLayer SMA_L4.4-W2.6-LS5.0-RD                8.0264       56.8960      0        通用二极管                       
C10        16V220uF          TopLayer CAP-SMD_BD6.3-L6.6-W6.6-FD            8.2804       21.2090      180      贴片电解电容                      
C9         100nF             TopLayer C0603-M                               20.7772      17.1958      180      Capacitor                   
C8         25V10uF           TopLayer C0805                                 17.1704      17.1196      0        贴片电容                        
C7         10nF              TopLayer C0603                                 17.7038      28.0416      270      ""                          
C1         50V220uF          TopLayer CAP-SMD_BD10.0-L10.3-W10.3-FD         8.1280       47.6758      90       ""                          
C4         10V10uF           TopLayer C0603-M                               13.0810      8.6106       90       贴片电容                        
J1         HEADER56          TopLayer Connector_PIN56                       83.5787      62.1872      0        ""                          
U20        G5V-1-5VDC        TopLayer G5V-1                                 76.2254      15.3750      90       继电器//欧姆龙//G5V-1-5VDC        
U19        G5V-1-5VDC        TopLayer G5V-1                                 65.4812      15.3750      90       继电器//欧姆龙//G5V-1-5VDC        
U18        G5V-1-5VDC        TopLayer G5V-1                                 54.7370      15.2654      90       继电器//欧姆龙//G5V-1-5VDC        
U17        G5V-1-5VDC        TopLayer G5V-1                                 43.9420      15.2146      90       继电器//欧姆龙//G5V-1-5VDC        
U16        G5V-1-5VDC        TopLayer G5V-1                                 33.0454      15.2146      90       继电器//欧姆龙//G5V-1-5VDC        
U15        G5V-1-5VDC        TopLayer G5V-1                                 60.1472      28.7782      180      继电器//欧姆龙//G5V-1-5VDC        
U14        G5V-1-5VDC        TopLayer G5V-1                                 159.8930     48.7680      90       继电器//欧姆龙//G5V-1-5VDC        
U13        G5V-1-5VDC        TopLayer G5V-1                                 149.6868     48.7680      90       继电器//欧姆龙//G5V-1-5VDC        
U12        G5V-1-5VDC        TopLayer G5V-1                                 139.4806     48.7680      90       继电器//欧姆龙//G5V-1-5VDC        
U11        G5V-1-5VDC        TopLayer G5V-1                                 129.2744     48.7680      90       继电器//欧姆龙//G5V-1-5VDC        
U10        G5V-1-5VDC        TopLayer G5V-1                                 119.0683     48.7680      90       继电器//欧姆龙//G5V-1-5VDC        
U9         G5V-1-5VDC        TopLayer G5V-1                                 108.8621     48.7680      90       继电器//欧姆龙//G5V-1-5VDC        
U8         G5V-1-5VDC        TopLayer G5V-1                                 98.6559      48.7680      90       继电器//欧姆龙//G5V-1-5VDC        
U7         G5V-1-5VDC        TopLayer G5V-1                                 88.4497      48.7680      90       继电器//欧姆龙//G5V-1-5VDC        
U6         G5V-1-5VDC        TopLayer G5V-1                                 78.2435      48.7680      90       继电器//欧姆龙//G5V-1-5VDC        
U5         G5V-1-5VDC        TopLayer G5V-1                                 68.0374      48.7680      90       继电器//欧姆龙//G5V-1-5VDC        
U4         G5V-1-5VDC        TopLayer G5V-1                                 57.8312      48.7680      90       继电器//欧姆龙//G5V-1-5VDC        
U3         G5V-1-5VDC        TopLayer G5V-1                                 47.6250      48.7680      90       继电器//欧姆龙//G5V-1-5VDC        
R42        22K               TopLayer R0603-M                               78.7400      4.8260       0        贴片电阻                        
